img_path,Auth
1.jpg,fake
2.jpg,fake
3.jpg,fake
4.jpg,fake
5.jpg,fake
6.jpg,fake
7.jpg,fake
8.jpg,fake
9.jpg,fake
10.jgp,fake
11.jpg,fake
12.jpg,fake
13.jpg,fake
14.jpg,fake
15.jpg,fake
16.jpg,fake
17.jpg,fake
18.jpg,fake
19.jpg,fake
20.jpg,fake
21.png,fake
22.png,fake
23.png,fake
24.png,fake
25.png,fake
26.png,fake
27.png,fake
28.png,fake
29.png,fake
30.png,fake
31.png,fake
32.png,fake
33.png,fake
34.png,fake
35.png,fake
36.png,fake
37.png,fake
38.png,fake
39.png,fake
40.png,fake
41.png,real
42.png,real
43.png,real
44.png,real
45.png,real
46.png,real
47.png,real
48.png,real
49.png,real
50.png,real
